score<Pub. year>	score<Application year>	score<Earliest priority year>	score<Cited by patents>	score<Cites patents>	score<Simple family size>	score<Extended family size>	score<NPL citations>
2022	2019	2019	1	8	2	2	7
2021	2020	2019	6	4	10	10	0
2023	2022	2013	2	156	16	28	306
2023	2020	2019	2	18	10	10	3
2021	2021	2020	1	7	13	13	2
2017	2016	2016	12	5	2	2	5
2021	2018	2018	1	20	5	5	7
2017	2016	2016	16	21	2	2	0
2017	2014	2013	11	10	5	5	0
2017	2015	2014	13	10	13	13	1
2021	2014	2013	0	4	17	17	0
2025	2024	2024	0	0	1	1	0
2017	2012	2011	1	1	10	10	0
2018	2014	2013	4	4	17	17	0
2025	2022	2021	0	3	9	9	1
2018	2014	2014	8	15	3	3	0
2024	2021	2020	0	33	10	10	16
2022	2019	2018	23	135	3	3	16
2025	2025	2020	0	0	18	18	0
2018	2017	2016	1	3	2	2	3
2023	2019	2018	0	16	9	9	11
2016	2015	2014	36	81	14	241	56
2025	2024	2019	21	12	2	77	7
2020	2019	2018	26	0	10	10	0
2023	2021	2020	0	0	8	8	0
2019	2018	2018	19	15	1	1	36
2025	2024	2023	0	0	4	4	0
2024	2024	2023	1	4	1	1	0
2020	2015	2014	0	0	16	16	1
2023	2023	2022	13	8	7	7	18
2021	2019	2019	1	4	2	2	5
2017	2017	2013	1	9	5	5	0
2020	2018	2018	7	0	14	14	0
2016	2015	2015	1	2	1	1	0
2019	2018	2013	0	9	9	9	0
2017	2014	2014	47	17	12	12	8
2025	2022	2022	0	12	4	4	7
2018	2018	2013	4	9	9	9	0
2023	2021	2021	0	7	5	5	12
2018	2017	2017	14	0	1	20	0
2022	2022	2021	1	5	2	2	0
2025	2024	2019	0	12	2	77	7
2023	2022	2021	1	5	2	2	0
2025	2024	2022	1	1	11	11	0
2023	2022	2017	0	136	22	22	25
2021	2020	2016	3	11	9	9	1
2020	2017	2013	0	12	5	5	0
2018	2014	2013	3	4	4	4	2
2023	2021	2020	7	0	2	2	0
2017	2017	2013	2	7	5	5	0
